Name,Sector,ESGRating,Date,Category
BIRLA CORPORATION LIMITED,Cement & Cement Products,Crisil ESG 54,10-Sep-25,Adequate
BIRLA GROUP HOLDINGS PRIVATE LIMITED,Holding Company,Crisil ESG 39,1-Oct-25,Weak
BIRLANU LIMITED,"Furniture, Home Furnishing",Crisil ESG 53,30-Jul-25,Adequate
BIRLASOFT LIMITED,Computers - Software & Consulting,Crisil ESG 64,6-Aug-25,Strong
BLACK BOX LIMITED,IT Enabled Services,Crisil ESG 55,3-Oct-25,Adequate
BLISS GVS PHARMA LIMITED,Pharmaceuticals,Crisil ESG 55,20-Feb-26,Adequate
BLISS GVS PHARMA LIMITED,Pharmaceuticals,Crisil ESG 56,11-Aug-25,Adequate
BLUE DART EXPRESS LIMITED,Logistics Solution Provider,Crisil ESG 64,29-Aug-25,Strong
BLUE STAR LIMITED,Household Appliances,Crisil ESG 57,11-Aug-25,Adequate
BODAL CHEMICALS LIMITED,Dyes And Pigments,Crisil ESG 49,1-Oct-25,Below average
BOMBAY BURMAH TRADING CORPORATION LIMITED,Packaged Foods,Crisil ESG 57,29-Aug-25,Adequate
BOMBAY DYEING & MANUFACTURING COMPANY LIMITED,Other Textile Products,Crisil ESG 50,11-Aug-25,Below average
BOROSIL LIMITED,Houseware,Crisil ESG 58,25-Jul-25,Adequate
BOROSIL RENEWABLES LIMITED,Glass - Industrial,Crisil ESG 50,9-Oct-25,Below average
BOSCH LIMITED,Auto Components & Equipments,Crisil ESG 62,14-Aug-25,Strong
BOSCH HOME COMFORT INDIA LIMITED,Household Appliances,Crisil ESG 58,3-Jul-25,Adequate
BRIGADE ENTERPRISES LIMITED,"Residential, Commercial Projects",Crisil ESG 59,4-Sep-25,Adequate
BRITANNIA INDUSTRIES LIMITED,Packaged Foods,Crisil ESG 62,29-Aug-25,Strong
BROOKFIELD INDIA REAL ESTATE TRUST,REIT,Crisil ESG 44,6-Aug-25,Below average
BSE LIMITED,Exchange and Data Platform,Crisil ESG 63,1-Sep-25,Strong
BUTTERFLY GANDHIMATHI APPLIANCES LIMITED,Household Appliances,Crisil ESG 57,23-Jul-25,Adequate
C.E. INFO SYSTEMS LIMITED,Software Products,Crisil ESG 56,6-Aug-25,Adequate
CAMLIN FINE SCIENCES LIMITED,Specialty Chemicals,Crisil ESG 42,26-Aug-25,Below average
CAMPUS ACTIVEWEAR LIMITED,Footwear,Crisil ESG 56,8-Oct-25,Adequate
CAN FIN HOMES LIMITED,Housing Finance Company,Crisil ESG 63,3-Sep-25,Strong
CANARA BANK,Public Sector Bank,Crisil ESG 67,2-Jul-25,Strong
CANTABIL RETAIL INDIA LIMITED,Garments & Apparels,Crisil ESG 51,16-Sep-25,Adequate
CAPACIT'E INFRAPROJECTS LIMITED,Civil Construction,Crisil ESG 49,25-Jul-25,Below average
CAPLIN POINT LABORATORIES LIMITED,Pharmaceuticals,Crisil ESG 53,9-Oct-25,Adequate
CAPRI GLOBAL CAPITAL LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 64,31-Oct-25,Strong
CAPRI GLOBAL CAPITAL LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 63,14-Oct-25,Strong
CARBORUNDUM UNIVERSAL LIMITED,Abrasives & Bearings,Crisil ESG 47,22-Aug-25,Below average
CARTRADE TECH LIMITED,E-Retail/ E-Commerce,Crisil ESG 55,11-Oct-25,Adequate
CARYSIL LIMITED,Household Appliances,Crisil ESG 52,14-Oct-25,Adequate
CASTROL INDIA LIMITED,Lubricants,Crisil ESG 61,24-Mar-25,Strong
CCL PRODUCTS (INDIA) LIMITED,Tea & Coffee,Crisil ESG 53,1-Sep-25,Adequate
CEAT LIMITED,Tyres & Rubber Products,Crisil ESG 61,5-Sep-25,Strong
CEMINDIA PROJECTS LIMITED,Civil Construction,Crisil ESG 56,8-Aug-25,Adequate
CENTRAL BANK OF INDIA,Public Sector Bank,Crisil ESG 63,29-Jul-25,Strong
CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,"Depositories, Clearing Houses and Other Intermediaries",Crisil ESG 60,1-Sep-25,Adequate
CENTUM ELECTRONICS LIMITED,Industrial Products,Crisil ESG 52,18-Aug-25,Adequate
CENTURY ENKA LIMITED,Other Textile Products,Crisil ESG 55,11-Aug-25,Adequate
CENTURY PLYBOARDS (INDIA) LIMITED,Plywood Boards/ Laminates,Crisil ESG 51,3-Oct-25,Adequate
CERA SANITARYWARE LIMITED,Sanitary Ware,Crisil ESG 56,30-Jul-25,Adequate
CESC LIMITED,Integrated Power Utilities,Crisil ESG 54,06-Mar-26,Adequate
CESC LIMITED,Integrated Power Utilities,Crisil ESG 52,24-Sep-25,Adequate
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,Heavy Electrical Equipment,Crisil ESG 59,7-Aug-25,Adequate
CHALET HOTELS LIMITED,Hotels & Resorts,Crisil ESG 61,22-Aug-25,Strong
CHAMBAL FERTILIZERS & CHEMICALS LIMITED,Fertilizers,Crisil ESG 53,10-Sep-25,Adequate
CHEMCON SPECIALITY CHEMICALS LIMITED,Specialty Chemicals,Crisil ESG 44,22-Sep-25,Below average
